AAPL_x,AAPL_y
2022-03-19,37705.5476503843
2022-03-19,38294.6968324215
2022-03-19,36527.2492863098
2022-03-19,39275.6302205136
2022-03-19,36821.8238773284
2022-03-19,46837.3599719617
2022-03-19,41210.9852835059
2022-03-19,38883.8460144588
2022-03-19,38206.3244551159
2022-03-19,38147.4095369122
2022-03-19,38677.6438007457
2022-03-19,40651.2935605706
2022-03-19,37381.5156002638
2022-03-19,36821.8238773284
2022-03-19,41240.4427426078
2022-03-19,37676.0901912824
2022-03-19,35938.1001042725
2022-03-19,36527.2492863098
2022-03-19,36792.3664182265
2022-03-19,36674.5365818191
2022-03-19,36792.3664182265
2022-03-19,36821.8238773284
2022-03-19,36821.8238773284
2022-03-19,36232.6746952911
2022-03-19,38294.6968324215
2022-03-19,36674.5365818191
2022-03-19,36203.2172361893
2022-03-19,36232.6746952911
2022-03-19,36821.8238773284
2022-03-19,35938.1001042725
2022-03-19,37705.5476503843
2022-03-19,36232.6746952911
2022-03-19,35319.4640056743
2022-03-19,44156.7311936922
2022-03-19,35348.9509222353
2022-03-19,35054.3763312166
2022-03-19,44186.1886527941
2022-03-19,35348.9509222353
2022-03-19,35348.9509222353
2022-03-19,34612.5144446887
2022-03-19,35938.1001042725
2022-03-19,36674.5365818191
2022-03-19,38147.4095369122
2022-03-19,41240.4427426078
2022-03-19,34435.7696900775
2022-03-19,34170.6525581607
2022-03-19,39767.5697875147
2022-03-19,38221.0531846669
2022-03-19,36792.3664182265
2022-03-19,34465.2271491794
2022-03-19,38294.6968324215
2022-03-19,88372.3773055882
2022-03-19,52876.1390878436
2022-03-19,36232.6746952911
2022-03-19,35614.068054152
2022-03-19,38294.6968324215
2022-03-19,35290.0360040315
2022-03-19,35643.5255132539
2022-03-19,29775.5996601628
2022-03-19,38294.6968324215
2022-03-19,35348.9509222353
2022-03-19,50077.6804731666
2022-03-18,40824.1415762692
2022-03-18,50713.2193494027
2022-03-18,42261.0161245023
2022-03-18,39161.8749420388
2022-03-18,42261.0161245023
2022-03-18,37471.4342970587
2022-03-18,219757.283847412
2022-03-18,35780.9936520786
2022-03-18,40147.9653182772
2022-03-18,41387.6217912626
2022-03-18,42261.0161245023
2022-03-18,47895.8182744359
2022-03-18,38034.914512052
2022-03-18,37189.694189562
2022-03-18,39443.6150495355
2022-03-18,39919.7558312048
2022-03-18,37330.5642433103
2022-03-18,36598.039963819
2022-03-18,36626.2139745686
2022-03-18,36344.473867072
2022-03-18,36344.473867072
2022-03-18,36626.2139745686
2022-03-18,37471.4342970587
2022-03-18,38598.3947270454
2022-03-18,45078.4171994691
2022-03-18,36626.2139745686
2022-03-18,37555.9563293077
2022-03-18,40201.4959387015
2022-03-18,37555.9563293077
2022-03-18,36485.3439208203
2022-03-18,36203.6038133236
2022-03-18,36485.3439208203
2022-03-18,39105.5269205394
2022-03-18,36344.473867072
2022-03-18,39443.6150495355
2022-03-18,36316.2998563223
2022-03-18,36231.7778240733
2022-03-18,36062.7337595753
2022-03-18,35685.2020155297
2022-03-18,38739.2647807937
2022-03-18,32400.1123621184
2022-03-18,35668.2976090799
2022-03-18,37665.8349712314
2022-03-18,90156.8343989382
2022-03-18,36626.2139745686
2022-03-18,36062.7337595753
2022-03-18,36626.1576265471
2022-03-18,35428.8185177077
2022-03-18,56348.0214993364
2022-03-18,36288.1258455726
2022-03-18,36626.2139745686
2022-03-18,36626.2139745686
2022-03-18,36288.1258455726
2022-03-18,36626.2139745686
2022-03-18,35076.6433833369
2022-03-18,37471.4342970587
2022-03-18,58204.6888077395
2022-03-18,38502.6030904965
2022-03-18,36626.2139745686
2022-03-18,38502.6030904965
2022-03-18,36626.2139745686
2022-03-18,35189.3394263356
2022-03-18,36288.1258455726
2022-03-18,36316.2998563223
2022-03-18,36598.039963819
2022-03-18,36598.039963819
2022-03-18,36626.2139745686
2022-03-18,36626.2139745686
2022-03-18,39443.6150495355
2022-03-18,39443.6150495355
2022-03-18,35921.8637058269
2022-03-18,35921.8637058269
2022-03-18,42261.0161245023
2022-03-18,36626.1858005579
2022-03-18,36626.2139745686
2022-03-18,34992.1213510879
2022-03-18,35442.9055230826
2022-03-18,35217.5134370852
2022-03-18,35217.5134370852
2022-03-18,35186.5220252606
2022-03-18,35186.5220252606
2022-03-18,34992.1213510879
2022-03-18,35442.9055230826
2022-03-18,40007.0952645288
2022-03-18,34434.2759382444
2022-03-18,34434.2759382444
2022-03-18,34907.5993188389
2022-03-18,34434.2759382444
2022-03-18,34434.2759382444
2022-03-18,34907.5993188389
2022-03-18,35217.5134370852
2022-03-18,34146.9010285978
2022-03-18,33808.8128996018
2022-03-18,33805.9954985269
2022-03-18,33808.8128996018
2022-03-18,34428.6411360945
2022-03-18,33752.4648781025
2022-03-18,33780.6388888522
2022-03-18,36626.2139745686
2022-03-18,33808.8128996018
2022-03-18,36626.2139745686
2022-03-18,33245.3326846085
2022-03-18,35921.8637058269
2022-03-18,38034.914512052
2022-03-18,33808.8128996018
2022-03-18,36626.2139745686
2022-03-18,46487.1177369525
2022-03-18,63391.5241867534
2022-03-18,38739.2647807937
2022-03-18,219757.283847412
2022-03-18,33780.6388888522
2022-03-18,33808.8128996018
2022-03-18,33808.8128996018
2022-03-18,39443.6150495355
2022-03-18,54939.320961853
2022-03-18,41320.0041654634
2022-03-18,70435.0268741705
2022-03-18,37753.1744045554
2022-03-18,33808.8128996018
2022-03-18,38034.914512052
2022-03-18,36626.2139745686
2022-03-18,33808.8128996018
2022-03-18,35217.5134370852
2022-03-18,33808.8128996018
2022-03-18,34992.1213510879
2022-03-18,34090.5530070985
2022-03-18,34372.2931145952
2022-03-18,36626.2139745686
2022-03-18,33808.8128996018
2022-03-18,33808.8128996018
2022-03-18,36344.473867072
2022-03-18,54715.8728825973
2022-03-18,33527.0727921051
2022-03-18,37555.9563293077
2022-03-18,33808.8128996018
2022-03-18,37330.5642433103
2022-03-18,33808.8128996018
2022-03-18,50713.2193494027
2022-03-18,33780.6388888522
2022-03-18,33527.0727921051
2022-03-18,33780.6388888522
2022-03-18,32400.1123621184
2022-03-18,33442.5507598561
2022-03-18,33104.4626308601
2022-03-18,33780.6388888522
2022-03-18,33470.7247706058
2022-03-18,33470.7247706058
2022-03-18,33104.4626308601
2022-03-18,33527.0727921051
2022-03-18,33780.6388888522
2022-03-18,33780.6388888522
2022-03-18,33358.0287276071
2022-03-18,33527.0727921051
2022-03-18,33442.5507598561
2022-03-18,33358.0287276071
2022-03-18,33527.0727921051
2022-03-18,32400.1123621184
2022-03-18,33808.8128996018
2022-03-18,38570.2207162957
2022-03-18,33808.8128996018
2022-03-18,36626.2139745686
2022-03-18,38006.7405013024
2022-03-18,32371.9383513687
2022-03-18,39725.3551570321
2022-03-18,33696.1168566031
2022-03-18,36626.2139745686
2022-03-18,39443.6150495355
2022-03-18,40852.3155870189
2022-03-18,33808.8128996018
2022-03-18,33808.8128996018
2022-03-18,33808.8128996018
2022-03-18,32371.9383513687
2022-03-18,56348.0214993364
2022-03-18,33780.6388888522
2022-03-18,32400.1123621184
2022-03-18,39161.8749420388
2022-03-18,33808.8128996018
2022-03-18,33808.8128996018
2022-03-18,45078.4171994691
2022-03-18,32681.8524696151
2022-03-18,40852.3155870189
2022-03-18,30991.411824635
2022-03-18,32031.0328212978
2022-03-18,30954.7856106604
2022-03-18,30991.411824635
2022-03-18,32935.4185663621
2022-03-18,30991.411824635
2022-03-18,35048.4693725872
2022-03-18,35189.3394263356
2022-03-18,45078.4171994691
2022-03-18,31301.3259428813
2022-03-18,36598.039963819
2022-03-18,33245.3326846085
2022-03-18,30991.411824635
2022-03-18,30991.411824635
2022-03-18,41697.5359095089
2022-03-18,30951.9682095855
2022-03-18,33245.3326846085
2022-03-18,32371.9383513687
2022-03-18,33808.8128996018
2022-03-18,33808.8128996018
2022-03-18,33808.8128996018
2022-03-18,32371.9383513687
2022-03-18,32371.9383513687
2022-03-18,46205.3776294558
2022-03-18,32400.1123621184
2022-03-18,32400.1123621184
2022-03-18,30963.2378138853
2022-03-18,33245.3326846085
2022-03-18,44740.3290704731
2022-03-18,32118.3722546217
2022-03-18,30963.2378138853
2022-03-18,33527.0727921051
2022-03-18,38034.914512052
2022-03-18,30991.411824635
2022-03-18,33808.8128996018
2022-03-18,32653.6784588654
2022-03-18,38034.914512052
2022-03-18,30427.9316096416
2022-03-18,33808.8128996018
2022-03-18,32400.1123621184
2022-03-18,33808.8128996018
2022-03-18,29836.2773838986
2022-03-18,30991.411824635
2022-03-18,36288.1258455726
2022-03-18,31695.7620933767
2022-03-18,43669.7166619857
2022-03-18,30991.411824635
2022-03-18,30991.411824635
2022-03-18,33808.8128996018
2022-03-18,33808.8128996018
2022-03-18,112696.042998673
2022-03-18,112696.042998673
2022-03-18,112696.042998673
2022-03-18,112696.042998673
2022-03-18,29582.7112871516
2022-03-18,30963.2378138853
2022-03-18,32935.4185663621
2022-03-18,30653.323695639
2022-03-18,30991.411824635
2022-03-18,28174.0107496682
2022-03-18,30653.323695639
2022-03-18,28174.0107496682
2022-03-18,28174.0107496682
2022-03-18,30878.7157816363
2022-03-18,30878.7157816363
2022-03-18,30653.323695639
2022-03-18,30878.7157816363
2022-03-18,28174.0107496682
2022-03-18,29300.9711796549
2022-03-18,28174.0107496682
2022-03-18,30991.411824635
2022-03-18,29300.9711796549
2022-03-18,29300.9711796549
2022-03-18,30991.411824635
2022-03-18,30991.411824635
2022-03-18,28174.0107496682
2022-03-18,29131.9271151569
2022-03-18,29131.9271151569
2022-03-18,29131.9271151569
2022-03-18,30991.411824635
2022-03-18,30991.411824635
2022-03-18,36626.2139745686
2022-03-18,30991.411824635
2022-03-18,50713.2193494027
2022-03-18,29554.5372764019
2022-03-18,45078.4171994691
2022-03-18,36626.2139745686
2022-03-18,30991.411824635
2022-03-17,31875.2337588622
2022-03-17,29935.0021387576
2022-03-17,30212.1780844868
2022-03-17,27717.5945729237
2022-03-17,33261.1134875084
2022-03-17,29103.4743015699
2022-03-17,29602.3910038825
2022-03-17,27689.8769783508
2022-03-17,33233.3958929355
2022-03-17,29103.4743015699
2022-03-17,26273.5078956744
2022-03-17,31875.2337588622
2022-03-17,29796.414165893
2022-03-17,37418.752673447
2022-03-17,33261.1134875084
2022-03-17,55435.1891458474
2022-03-17,27717.5945729237
2022-03-17,46842.734828241
2022-03-17,27717.5945729237
2022-03-17,31598.057813133
2022-03-17,27163.2426814652
2022-03-17,26331.7148442775
2022-03-17,27301.8306543298
2022-03-17,26054.5388985483
2022-03-17,28271.9464643822
2022-03-17,26054.5388985483
2022-03-17,29103.4743015699
2022-03-17,27689.8769783508
2022-03-17,23559.9553869851
2022-03-17,23559.9553869851
2022-03-17,23559.9553869851
2022-03-17,23559.9553869851
2022-03-17,29103.4743015699
2022-03-17,27440.4186271944
2022-03-17,27080.0898977464
2022-03-17,27714.8228134664
2022-03-17,26276.2796551316
2022-03-17,25223.0110613606
2022-03-17,27717.5945729237
2022-03-17,26331.7148442775
2022-03-17,26747.4787628714
2022-03-17,27384.9834380486
2022-03-17,27080.0898977464
2022-03-17,194023.162010466
2022-03-17,24945.8351156313
2022-03-17,24945.8351156313
2022-03-17,28271.9464643822
2022-03-17,26331.7148442775
2022-03-17,26830.6315465901
2022-03-17,26054.5388985483
2022-03-17,27717.5945729237
2022-03-17,26054.5388985483
2022-03-17,25777.362952819
2022-03-17,30489.354030216
2022-03-17,24945.8351156313
2022-03-17,27717.5945729237
2022-03-17,26858.349141163
2022-03-17,23559.9553869851
2022-03-17,24391.4832241728
2022-03-17,25472.4694125169
2022-03-17,24945.8351156313
2022-03-16,22679.2491427032
2022-03-16,23059.2019013042
2022-03-16,24893.4565979989
2022-03-16,23557.0710332642
2022-03-16,34038.526442948
2022-03-16,208923.584751281
2022-03-16,23583.2746717884
2022-03-16,22980.5909857316
2022-03-16,23583.2746717884
2022-03-16,157221.831145256
2022-03-16,86472.0071298909
2022-03-16,24631.4202127568
2022-03-16,26203.6385242094
2022-03-16,30134.1843028408
2022-03-16,31444.3662290512
2022-03-16,28824.0023766303
2022-03-16,24369.3838275147
2022-03-16,27513.8204504198
2022-03-16,24500.4020201357
2022-03-16,25155.492983241
2022-03-16,23583.2746717884
2022-03-16,45856.3674173664
2022-03-16,24605.2165742326
2022-03-16,31444.3662290512
2022-03-16,24893.4565979989
2022-03-16,26203.6385242094
2022-03-15,33664.1311120593
2022-03-15,24619.6493891119
2022-03-15,24101.34098092
2022-03-15,32653.4297160852
2022-03-15,24360.4951850159
2022-03-15,25915.4204095914
2022-03-15,27211.191430071
2022-03-15,45611.1399208809
2022-03-15,64788.5510239786
2022-03-15,25604.4353646763
2022-03-15,26171.2056090341
2022-03-15,24101.34098092
2022-03-15,23583.0325727282
2022-03-15,23323.8783686323
2022-03-15,25915.4204095914
2022-03-15,33690.0465324689
2022-03-15,28195.9774056355
2022-03-15,22416.8386542966
2022-03-15,24101.34098092
2022-03-15,23583.0325727282
2022-03-15,28506.9624505506
2022-03-15,25656.2662054955
2022-03-15,25591.4776544715
2022-03-14,26444.1748753415
2022-03-14,23925.6820300708
2022-03-14,30221.9141432474
2022-03-14,25184.9284527061
2022-03-14,23421.9834610167
2022-03-14,75554.7853581184
2022-03-14,25134.5585958007
2022-03-14,23547.9081032802
2022-03-14,33949.2835542479
2022-03-14,24177.5313145979
2022-03-14,42033.6455875666
2022-03-14,25184.9284527061
2022-03-14,25184.9284527061
2022-03-14,32740.406988518
2022-03-14,137006.010782721
2022-03-14,30221.9141432474
2022-03-14,32740.406988518
2022-03-14,27703.4212979768
2022-03-13,25794.5813568836
2022-03-13,29147.8769332785
2022-03-13,23473.0690347641
2022-03-13,26310.4729840213
2022-03-13,24994.9493348202
2022-03-13,58220.9495806221
2022-03-13,25794.5813568836
2022-03-13,23859.9877551174
2022-03-13,26439.4458908057
2022-03-13,24762.7981026083
2022-03-13,27832.3532840774
2022-03-13,25794.5813568836
2022-03-13,23473.0690347641
2022-03-13,23215.1232211953
2022-03-13,25020.7439161771
2022-03-13,25536.6355433148
2022-03-13,23473.0690347641
2022-03-13,23473.0690347641
2022-03-13,22699.2315940576
2022-03-13,23473.0690347641
2022-03-13,22957.1774076264
2022-03-13,25768.7867755268
2022-03-13,29663.7685604162
2022-03-13,25149.7168229615
2022-03-13,23447.2744534072
2022-03-13,146771.167920668
2022-03-13,23988.9606619018
2022-03-13,23705.2202669761
2022-03-13,23447.2744534072
2022-03-13,23215.1232211953
2022-03-13,23344.0961279797
2022-03-13,33532.9557639487
2022-03-13,23215.1232211953
2022-03-13,23447.2744534072
2022-03-13,23215.1232211953
2022-03-13,24504.8522890395
2022-03-13,25794.5813568836
2022-03-13,25794.5813568836
2022-03-13,28064.5045162894
2022-03-13,29405.8227468474
2022-03-13,42561.059238858
2022-03-13,52878.8917816115
2022-03-13,24994.9493348202
2022-03-13,24994.9493348202
2022-03-13,23473.0690347641
2022-03-13,22957.1774076264
2022-03-13,61906.9952565207
2022-03-13,23710.1212374339
2022-03-13,23215.1232211953
2022-03-12,24346.9073585917
2022-03-12,24346.9073585917
2022-03-12,33573.1038313211
2022-03-12,51256.6470707193
2022-03-12,24346.9073585917
2022-03-12,21784.0750050557
2022-03-12,22809.2079464701
2022-03-12,24987.6154469757
2022-03-12,23270.5177701066
2022-03-12,23578.0576525309
2022-03-12,23039.8628582883
2022-03-12,22757.9512993994
2022-03-12,23706.1992702077
2022-03-12,21784.0750050557
2022-03-12,22757.9512993994
